date,upro_close,upro_ath,upro_dd,spy_close,spy_ath,spy_dd,vix
2010-05-20,1.7140,2.5538,-0.3288,81.0162,91.7666,-0.1171,45.7900
2011-08-04,2.2957,3.4117,-0.3271,92.8563,104.8220,-0.1142,31.6600
2011-11-23,1.8950,2.5969,-0.2703,90.4650,104.8220,-0.1370,33.9800
2012-06-01,2.4901,3.4225,-0.2724,100.5376,111.2691,-0.0964,26.6600
2015-08-24,8.1139,11.6126,-0.3013,158.8326,178.1859,-0.1086,40.7400
2016-01-13,7.8378,10.9610,-0.2849,160.0407,178.1859,-0.1018,25.2200
2018-02-08,19.6393,27.4041,-0.2833,227.3764,252.9269,-0.1010,33.4600
2018-10-24,20.4852,27.8734,-0.2651,237.2259,261.3106,-0.0922,25.2300
2020-02-27,25.9052,38.7301,-0.3311,272.6274,310.0424,-0.1207,39.1600
2020-09-23,24.2040,33.0304,-0.2672,299.8984,331.1616,-0.0944,28.5800
2022-01-25,56.0748,75.0775,-0.2531,410.9736,451.8752,-0.0905,31.1600
2022-04-26,47.6083,65.7845,-0.2763,394.8199,451.8752,-0.1263,33.5200
2022-09-06,36.3232,48.9052,-0.2573,372.3774,451.8752,-0.1759,26.9100
2023-10-25,37.0657,50.4357,-0.2651,405.8313,451.8752,-0.1019,20.1900
2025-03-11,72.3700,98.3254,-0.2640,549.4675,605.8158,-0.0930,26.9200
