name,end_value,cagr,sharpe,sortino,max_dd,calmar,pct_invested,num_trades,worst_12m,worst_month,time_underwater
UPRO B&H,9530436.726312,0.314458,0.767722,0.947058,-0.768168,0.392058,1.000000,1,-0.607655,-0.481247,615
SPY B&H (1x),983169.157940,0.146985,0.808813,0.999505,-0.337173,0.396512,1.000000,0,-0.197327,0.000000,488
Synthetic 3x (no cost),21250541.518480,0.379247,0.860507,1.062443,-0.761268,0.480719,1.000000,0,-0.574174,0.000000,527
Synthetic 3x (6% margin),2880165.564875,0.223390,0.627160,0.776961,-0.764067,0.274974,1.000000,0,-0.622560,0.000000,630
Static 3x (6% margin),2406045.210780,0.210259,0.754361,0.928218,-0.469330,0.419677,1.000000,0,-0.303720,0.000000,496
VIX<15,359505.983651,0.079798,0.494155,0.565375,-0.405081,0.164179,0.342462,121,-0.307313,-0.123585,1084
VIX<20,449341.532164,0.094346,0.414099,0.485666,-0.525944,0.154112,0.686830,134,-0.475831,-0.309072,701
VIX<25,2239078.049111,0.205047,0.660265,0.805328,-0.521851,0.367453,0.859252,77,-0.519809,-0.309072,554
VIX<30,4019089.721723,0.248095,0.712560,0.887633,-0.689215,0.340682,0.938795,43,-0.667199,-0.344460,763
Dual Momentum,569512.454318,0.110018,0.446728,0.507774,-0.566211,0.170832,0.631817,76,-0.504213,-0.275359,788
HFEA 55/45,3175508.056678,0.230577,0.817666,1.066854,-0.704859,0.308268,1.000000,67,-0.665429,-0.259890,1051
DD10%/Cool20,648986.889899,0.118753,0.464928,0.537717,-0.559469,0.188502,0.708740,156,-0.474590,-0.309072,873
DD10%/Cool40,1906614.534912,0.193482,0.697064,0.807312,-0.524126,0.343791,0.633484,120,-0.397725,-0.205876,1163
DD10%/Cool60,1456059.879942,0.174332,0.682640,0.773855,-0.451445,0.356721,0.583472,104,-0.347543,-0.181374,763
DD15%/Cool20,1381316.835164,0.170624,0.570026,0.677876,-0.500639,0.314264,0.813051,91,-0.475321,-0.331233,599
DD15%/Cool40,1837850.205903,0.190854,0.644724,0.747318,-0.479136,0.370589,0.737557,73,-0.393532,-0.309072,581
DD15%/Cool60,413844.295036,0.088956,0.389530,0.431686,-0.492848,0.153524,0.670636,71,-0.450951,-0.309072,1130
DD20%/Cool20,9253548.894242,0.312135,0.835786,1.042891,-0.517498,0.577477,0.869255,57,-0.437304,-0.309072,556
DD20%/Cool40,3750570.807246,0.242928,0.743596,0.893084,-0.482784,0.475649,0.805192,47,-0.407801,-0.309072,709
DD20%/Cool60,862549.578228,0.138013,0.515655,0.584782,-0.659060,0.189240,0.741129,47,-0.542653,-0.309072,1046
DD25%/Cool20,9392226.542755,0.313307,0.824529,1.042634,-0.619398,0.484365,0.912122,39,-0.529939,-0.306856,925
DD25%/Cool40,8399234.059813,0.304531,0.853002,1.046865,-0.418291,0.696260,0.859967,31,-0.395897,-0.306856,610
DD25%/Cool60,1909940.831972,0.193607,0.637916,0.739109,-0.593347,0.303894,0.804001,31,-0.591611,-0.306856,956
Composite 2of3,1100438.649490,0.154766,0.549860,0.653671,-0.611077,0.231516,0.806859,48,-0.588804,-0.331682,723
Composite 3of3,835955.816473,0.135876,0.548732,0.642368,-0.500736,0.244809,0.673732,105,-0.434960,-0.188929,812
DD25%/Cool40+SMA50,4269764.604879,0.252634,0.755706,0.910265,-0.451474,0.530135,0.848297,31,-0.437062,-0.306856,625
DD25%/Cool40+SMA100,2145022.765737,0.201949,0.653549,0.772391,-0.555604,0.339553,0.833294,31,-0.553707,-0.306856,733
DD25%/Cool40+SMA200,1512811.825978,0.177029,0.596866,0.697189,-0.639161,0.256175,0.829483,31,-0.637620,-0.306856,1046
SMA200,1161370.811736,0.158506,0.561521,0.663537,-0.578769,0.250902,0.797571,89,-0.555678,-0.331682,769
SMA100,2572368.156109,0.215122,0.719916,0.842172,-0.459834,0.438921,0.775899,170,-0.390904,-0.242271,712
SMA50,737444.010392,0.127363,0.495763,0.573782,-0.523383,0.217950,0.723982,282,-0.466234,-0.274561,789
SMA200/2%buf,784295.385600,0.131537,0.486960,0.565609,-0.595873,0.198440,0.819481,49,-0.534187,-0.331682,814
DD25%/Cool40+TLT,10408611.949068,0.321428,0.877309,1.116971,-0.552796,0.557415,0.859967,31,-0.541046,-0.328522,630
DD25%/Cool40+TMF,11324889.240704,0.328134,0.831855,1.080970,-0.767433,0.410254,0.859967,31,-0.753079,-0.367525,943
Syn UPRO B&H (2000-09),8791.412188,-0.226639,-0.076760,-0.103446,-0.966580,-0.263084,1.000000,1,-0.918787,-0.525503,2326
Syn DD25/Cool40 (2000-09),16229.967108,-0.174861,-0.272341,-0.319742,-0.927720,-0.218292,0.747797,33,-0.655549,-0.324389,2372
Syn UPRO B&H (1993-26),49120085.376113,0.206137,0.574088,0.733897,-0.966580,0.188393,1.000000,1,-0.918787,-0.525503,4222
Syn DD25/Cool40 (1993-26),53447198.302899,0.209221,0.613253,0.748389,-0.927933,0.199562,0.841556,71,-0.655549,-0.324389,3623
WF Train DD30/Cool10,1320201.384513,0.409623,1.006283,1.330190,-0.451519,0.905109,1.000000,0,-0.398245,-0.306856,390
WF Test DD30/Cool10,1063295.574258,0.294771,0.744354,0.875401,-0.647353,0.419172,1.000000,0,-0.600952,-0.310697,714
DD25/Cool40+TLT cash,10408611.949068,0.321428,0.877309,1.116971,-0.552796,0.557415,0.859967,31,-0.541046,-0.328522,630
DD25/Cool40+TMF cash,11324889.240704,0.328134,0.831855,1.080970,-0.767433,0.410254,0.859967,31,-0.753079,-0.367525,943
